INDEX NUMBER,CMIS1113,CMIS1123,CMIS1131,ELTN1112,ELTN1122,ELTN1132,MATH1112,STAT1113,
152001,C,-,-,C,-,-,-,-,
192001,B,B+,C+,A,A,B+,A-,B+,
192010,A,A,A,A+,A,A,A-,A+,
192012,A,B+,A-,A+,A+,A-,A,A+,
192015,A-,A,A-,A+,A,A-,A-,A,
192016,A,B,I,A+,B+,C,B,A-,
192021,A,B+,B+,A,B+,C+,A-,B,
192022,A,A,A-,B,B,C+,B,B-,
192024,A,A-,A-,A,A,B+,A,A+,
192025,A,B,B+,A,A,A,A,A,
192032,A,A,B,A,A,B+,A,A,
192037,A,B,A,A-,A,B+,A,A,
192039,A,B+,B-,A,A,B-,A-,A,
192041,A,B,C-,A,A+,C+,B+,C,
192047,A,C+,A,B+,C-,C-,C,C+,
192050,B,B,B,A,A,B,A-,A-,
192055,A,A-,A+,A-,A,B,B+,A,
192057,A,A,A,A+,A,A-,B+,A,
192059,A-,B+,A,A,A,A-,C+,A,
192060,A,B+,A,A,A-,B+,A-,A,
192062,C+,C+,A-,B+,C-,C-,C,C+,
192063,A,A,A-,A+,A+,A,A,A+,
192072,A,B+,B+,A+,A,B+,A-,A+,
192077,A,B,A-,A+,A,B+,A,A,
192079,A+,A,A,A+,A,A,A,A+,
192080,A-,B,A,A,A-,B+,A-,A,
192091,A,A-,A-,A,A,A,A,A,
192093,A-,B+,A,A+,A-,C+,B-,A-,
192096,A,A,A,A,A,A,A,A,
192098,A,B+,A,A,A-,A-,A,A+,
192099,A,B+,A,A+,A,B+,B+,A,
192100,A,A,A,A,A,B,A-,A,
192103,A,A,A+,A+,A,A-,A-,A,
192109,A,A,A,A+,A,B,A,A+,
192111,B+,A-,A,A,A,B+,A-,A-,
192112,A,A-,A,A+,A,B,A,A+,
192113,A,A,B-,A,B+,B,B,B,
192115,C,B+,C,A+,A-,B+,B,A-,
192116,B+,B+,A,A,A,A-,A-,A+,
192119,A,A,B-,A,A,A-,A,A,
192122,B,B+,A,A+,A,A-,A-,A,
192123,A-,B+,A,A,A,B+,B-,A,
192130,A,B,C,A,A,B+,A,A+,
192131,B+,A-,A+,A-,B+,B-,B+,B+,
192132,B+,B,A-,A,B+,B+,A,A,
192135,A,A,A,A+,A,A,A,A+,
192139,A-,A-,A,A-,A,A-,A-,A,
192143,A,A-,B-,A+,A,A,A,A+,
192144,A-,A-,A-,A,B+,A,A-,A+,
192146,B+,B+,A,A+,A,B+,B+,A,
192149,A,B,B+,A,A-,B+,A-,A-,
192150,B,A,A,A+,B+,A,B+,A,
192153,A-,A,A+,A+,A,A,A+,A,
192155,A,A,B,A+,A,A-,A,A+,
192160,A,B+,B,A,A-,A,A-,A+,
192161,B,A,A-,A,A-,A,A,A+,
192162,C,B,A,A,B,B-,A,A,
192164,B-,A-,I,A+,A,A-,B+,A,
192168,B,B+,C-,A,B+,C+,B-,B,
192175,A,A,A,A+,A-,B,B+,A+,
