INDEX NUMBER,ELTN1112,ELTN1122,ELTN1132,IMGT1112,IMGT1122,IMGT1132,MATH1112,STAT1113,
152003,C,-,-,C,-,-,-,-,
192018,A+,A,A,A,A,A,B,A,
192125,B,C+,C,C-,D+,D+,E,E,
192165,A,B+,B+,B-,B,B,B,C+,
192167,A,A-,B,B-,A,B-,A,A,
192179,A+,A,B+,A,A-,A-,A,A,
192180,A,A-,B+,B+,A,A-,A,A,
192181,A,B+,C,C+,B+,C+,C-,B-,
192186,A,B+,B,B-,A-,B,B,A,
192187,A,C+,C,C-,C,C,B,C+,
192188,B+,C,D+,B-,B+,B,C,B,
192190,A,B,C+,B-,B+,B+,C+,B-,
192192,A,C-,C-,C,C+,C+,C-,C+,
192193,B-,C+,C,B-,B,B,B-,C,
192194,A,B+,C+,B,A-,C+,B,B-,
192195,A-,B,B-,B,A,B,B+,B,
192196,A,B,B+,B+,A,B,A-,B+,
192197,A,C,C,B+,B,B-,C-,B,
192198,A,B-,B-,C,B-,C,B,A-,
192200,E,D+,C-,C,C,A-,E,E,
192201,A,A,B+,A,A-,A-,B-,A-,
192202,A-,B+,C,C+,A-,C+,C,B-,
192203,C-,C+,D,D,C,E,E,E,
192205,B+,B,B-,A-,B-,B,B+,D+,
192206,A,B+,B,C+,B+,C-,B+,B-,
192208,B+,B+,C+,C-,B-,C+,A,A-,
192209,A+,B+,B+,D+,B,C-,A,B+,
192211,A+,B+,A-,B-,B+,B,B,B+,
192212,A-,A,B+,B,B+,B,A,B,
192213,A+,A-,B+,B,B+,B+,A,A-,
192214,B,B+,C+,C+,C,C+,D,B-,
