INDEX NUMBER,CMIS1113,CMIS1123,CMIS1131,IMGT1112,IMGT1122,IMGT1132,MATH1112,STAT1113,
152002,C,-,-,C,-,-,-,-,
192002,A,A-,B+,B-,C+,C,C,B,
192003,A,A,A,B,A,B,A-,A+,
192006,A,A,A,A-,B,B-,A,A,
192007,B+,A-,B+,B+,A-,A-,B-,B+,
192014,B,A-,A,B-,A,B-,A,A+,
192020,A,A,B,C,A-,B,C+,B+,
192026,A,A-,A,A-,A-,B+,A,A+,
192027,A,A-,C+,A-,A,A-,A,A+,
192029,A,A-,B,A-,B+,B+,B+,A,
192035,A,A-,A,A,A,A-,A,A,
192042,A-,A,B-,C,B+,B,A-,B+,
192044,A+,A,A,A,A,A,A,A+,
192045,A-,B+,A-,A-,A-,B+,A,A,
192048,A,A-,A,A,B+,B+,A,A+,
192049,A-,B+,A,C+,B+,B,C+,B,
192051,A-,B+,E,E,B-,C+,B-,A,
192053,A,C+,A-,C,B,B,B-,D,
192054,A,A-,A,C+,A,B,A,A,
192058,A,B+,A,C+,B+,B,A,A+,
192061,B+,A,A,B+,A-,A-,A-,A,
192066,A,B+,A-,A-,A-,B,A-,A,
192071,A,A-,C+,A,A,A,A+,A+,
192074,B+,A,B-,B,B+,B,A-,A,
192075,A+,A,A,B,A-,A,A-,A+,
192076,-,-,B,-,-,-,-,-,
192078,A,C+,I,B+,B+,B,A-,A,
192082,A-,A,C+,C,B,B,B+,A-,
192084,A+,A,A,B+,A,A-,A-,A,
192087,A,A,C+,B+,B+,A-,A,A+,
192092,A+,A-,A-,A-,A,A,A,A,
192095,B,B+,I,B,A,B+,A,A,
192097,A,A,E,A-,A-,A-,A,A+,
192102,A,A-,B-,B,A-,B+,B,A,
192104,A,A,B,B,A,B,A,A,
192107,A,B,C,B+,A,A-,A,A,
192114,B-,B,A-,D+,C+,C-,C+,B-,
192120,B-,A,I,B,B+,B-,B+,A,
192121,A,A,B,A,A,B,A,A+,
192126,A-,A,A,B+,A-,B+,A,A+,
192127,A,A,A-,C+,A-,B-,A,A,
192133,A-,A,A-,A,A-,A-,A,A+,
192134,A,A,A,B+,B+,B+,A-,A+,
192136,B+,B+,B-,C+,B+,B,A-,A,
192137,A,A,A,A,A,A-,A+,A+,
192138,B+,B+,A-,A-,B-,A-,A,A-,
192140,B+,A,A-,A-,A,B-,A,A+,
192141,A-,A,B+,B+,A,B+,A,A+,
192142,A,A,A,A,A,A-,A,A+,
192147,A+,A,A,A,A,B+,A+,A+,
192148,A-,B+,C+,C,A-,B-,A-,A,
192152,A-,B,A,A+,A-,B+,A-,A,
192154,A-,A-,A-,A,A-,A-,A,A,
192156,B-,A-,C,D+,B+,B-,B,A-,
192159,B+,B,A,B+,A-,B,A-,A,
192163,C,B,A-,C-,B,B+,B,C+,
192166,B,A-,B+,B-,A-,B-,B-,A,
192169,A-,A,B+,A,A,A-,A,A,
192173,B-,B-,C,C+,B-,C+,C+,C+,
192174,C+,B,C-,D+,B,C+,B,B-,
192177,B+,A-,B,B+,A,B+,A,A+,
192183,B-,B+,C,C-,A-,B,B,A,
192185,B,A-,C-,B-,B,B,B,B,
192189,A-,A,C-,B,B+,B-,C+,C+,
192199,B+,A,C,C,A-,A-,C,A-,
