INDEX NUMBER,CMIS2113,CMIS2123,ELTN2112,ELTN2121,MATH2114,STAT2112,
192175,B+,B,A,B,B-,A-,
192168,D+,E,D+,B+,C,C,
192164,C,C,D,C-,C+,D+,
192162,B+,D,B,C,B-,C+,
192161,C+,D,B-,C+,B-,C+,
192160,B-,C+,B+,C+,B+,B-,
192158,I,I,E,C-,C-,I,
192155,B+,C,B,A,B+,B+,
192153,A+,I,A,B-,B+,A,
192150,C+,I,C+,C,B,A,
192149,A,I,B-,C+,B-,B,
192146,B,D+,D+,C-,B,C,
192144,A,D+,D+,A,C-,B-,
192143,C+,I,A,C+,A-,B+,
192139,B-,D,B-,B+,B,A-,
192135,A+,A-,I,B-,A-,A,
192132,I,C,B-,C+,B,C-,
192131,A,C-,B-,A-,C+,B-,
192130,D+,E,E,C,C+,B-,
192123,B-,C-,C,C,C-,C,
192122,A,B+,B,D+,B-,B,
192119,B-,D+,A,C-,B,A-,
192116,A,C,A-,A-,B,A,
192115,D+,C,D,C,C+,C,
192113,C,C,C-,B+,C,C,
192112,I,I,B+,C+,I,B+,
192111,A,C,B-,B-,B,B-,
192109,A,B+,C+,B+,B-,D+,
192103,A,B-,A,C+,B+,A+,
192100,B,A,B-,A,B-,B-,
192099,B+,I,B+,C,B-,B+,
192098,A,B+,A+,A+,B,A,
192096,A,B,C+,C+,B+,A,
192093,B-,C,C,A,C+,C-,
192091,A,B-,B,A-,B,B-,
192080,A+,B-,A,B+,A,A+,
192079,B+,B-,B,C,A-,A,
192077,C,D+,C,B,B,C,
192072,B+,D+,B+,C-,C+,B,
192063,B,C-,C,A-,A-,A,
192062,C,E,D+,B,C-,C+,
192060,A,B+,A,C-,B+,A,
192059,A,B-,C+,B+,B,C,
192057,A,B+,C,B,C+,B,
192055,A+,A,A+,A,A,A+,
192050,A-,C,B-,D+,B-,C+,
192047,B-,E,D+,B-,C,C-,
192041,C-,E,D+,D+,B-,C,
192039,C+,C,C,B-,B,B-,
192037,A,B-,A,C,B+,A,
192032,A-,C,A-,C+,B,A-,
192025,B+,B-,B-,A-,B+,A-,
192024,C,D+,C+,B-,B,C,
192022,A-,D,C-,C,B+,C,
192021,A-,C,B,A,C+,D,
192016,C-,E,C,B-,D+,C,
192015,C+,D+,B-,C,B+,C+,
192012,A-,C,C+,A,B+,C+,
192010,A-,B,B-,A,A-,A,
192001,B-,D,B,C,B-,A-,
