INDEX NUMBER,CMIS2214,ELPC2+20,ELTN2213,ELTN2221,ELTN2232,ELTN2241,MATH2213,STAT2212,STAT2222,
192175,A,P,B+,A,A,A,B,B+,B+,
192168,D+,F,D+,C+,D+,C,D+,D+,C-,
192164,I,P,D,C+,C-,B,C-,C,C,
192162,C,F,C+,C,C,B-,D+,D,C-,
192161,C+,P,C-,B-,C+,B-,C,C,C+,
192160,C+,F,C,A,B,A,B,B-,B-,
192158,I,AB,I,I,I,I,I,I,I,
192155,B+,P,B-,B,A-,A,C+,B,B,
192153,A,P,B+,A-,B+,A,B,C+,B-,
192150,D+,F,C,B-,C,B,C,C,C+,
192149,B,P,B+,A-,B+,B-,B-,C+,C,
192146,C,P,C-,C+,C,C,C-,C-,C,
192144,C+,P,I,B-,C+,B+,I,C-,I,
192143,B,P,B+,A,I,B+,B+,B-,C+,
192139,C+,P,B,B,B+,B+,B,C+,C+,
192135,A,P,I,B+,C+,A-,I,C+,B+,
192132,B-,F,B-,B,C,A,B,C-,B,
192131,B-,P,C-,C,C+,C,C,D+,C-,
192130,C-,P,C,C+,C,A-,B-,C-,C,
192123,D+,P,D+,B,D+,C,D,D,D,
192122,B-,P,B-,C+,A-,C,C,C-,C+,
192119,B-,P,B,B-,A-,A,B-,B,B-,
192116,B,P,B,B+,B+,A-,C+,C-,C,
192115,C+,P,C,C,D+,D+,D,E,D,
192113,B,P,B-,B,B+,B-,B-,B,C,
192112,B-,P,D,C,E,C,C-,C+,D+,
192111,C+,P,C+,B-,C+,C,C+,C+,C,
192109,A,P,B+,A+,A,A,C+,C-,C-,
192103,B+,P,B-,A,B+,C+,B,B,B-,
192100,B-,P,C+,B+,D+,D+,C-,D,D+,
192099,C,P,C,A-,D+,D+,C-,D+,C,
192098,A-,P,A,A-,A,A,B,D+,B-,
192096,B-,P,C+,B-,B-,C-,B-,B-,B-,
192093,B-,P,B,A-,B,B,C,C-,C+,
192091,A,P,B,A,B,C+,B+,B+,B,
192080,B+,P,B,A,A-,A,B+,B,A-,
192079,B,P,B,A-,A,A-,B,C,C+,
192077,B+,P,C,B,C+,B,B-,C+,C+,
192072,B+,P,B-,C+,B-,C+,B-,C+,C-,
192063,B+,P,B,B,B+,B,B,B-,B,
192062,B-,P,C,C,C+,D+,C-,E,D,
192060,B+,P,A-,A-,B+,B-,A-,C,B-,
192059,B+,P,B-,B+,B-,A,C,C-,C-,
192057,A+,P,C+,B-,C,C,C-,C-,C,
192055,A,P,A,A-,B,A-,A+,A,A+,
192050,C+,P,B-,B-,B-,C,C,E,C,
192047,B-,P,B,B-,B,B,C+,C,C+,
192041,C,P,D,B-,C,C,C-,C,C-,
192039,C,P,B+,C,C+,B-,C,C+,D+,
192037,B,P,C+,B+,E,C,A,B-,B-,
192032,B,P,B-,B-,B-,C+,C+,B+,B+,
192025,B,P,B+,B+,C+,C+,B+,B-,B+,
192024,B-,P,C,B,C,B+,C-,C,C-,
192022,C,P,B-,B-,C+,D+,C+,C-,C+,
192021,I,AB,I,I,I,I,I,I,I,
192016,C-,P,C,I,E,I,D,E,D,
192015,C+,P,B+,B,B+,A-,C,C,C,
192012,C+,P,B+,B,B+,B-,B-,B-,B,
192010,B+,P,B,C+,B,C,B-,B+,A-,
192001,D+,P,B,C,C+,C-,B-,D,C,
