INDEX NUMBER,CMIS2214,ELPC2+20,IMGT2212,IMGT2222,MATH2213,STAT2212,STAT2222,
192199,C+,P,D+,C+,C+,C-,D,
192189,B,P,B-,C+,C-,B-,C+,
192185,B,AB,I,I,D+,I,D,
192183,C,P,C,B+,B,C,C+,
192177,B,P,B,C+,B+,B,B+,
192174,C,P,D+,C,C-,C,C,
192173,D+,P,C,C+,D,D,C,
192169,A,P,A+,A,A,A-,A+,
192166,B,P,C+,C,C-,C+,C,
192163,B-,P,B,C+,C,C-,C,
192159,A-,P,B-,B-,B,C,C+,
192156,C+,P,D,C-,D+,D+,D+,
192154,A,P,A,A,B-,B-,A,
192152,A+,P,A,B+,A,B-,B+,
192148,C,P,I,D+,C-,C,C,
192147,A,P,A,A,B-,C,B,
192142,A,P,A,A+,A,A,A,
192141,B+,P,C+,A-,C,B,C,
192140,A-,P,B+,C+,B-,B-,C+,
192138,B+,P,A-,B,B-,D+,C,
192137,B-,P,A,B,B-,C+,C+,
192136,C,P,C,B+,C+,C,C-,
192134,A,P,A,A,B,B+,B,
192133,B+,P,B+,B+,C-,C+,C+,
192127,A-,P,C,A,A-,B,A,
192126,A,P,B,A,A+,A,A+,
192121,B-,P,B+,A-,B,A-,C+,
192120,C,F,D+,E,D+,E,E,
192114,C,P,D+,D+,D,D+,C,
192107,B,P,A,B+,A-,B+,B,
192104,B,P,A-,A,B+,B,B+,
192102,B-,P,C+,C,C,C+,C+,
192097,A,P,A-,A,B,B+,A-,
192095,C,P,B-,B-,C-,C,C-,
192092,A-,P,A,A+,C+,B-,C,
192087,A,P,A-,A-,B+,B,B-,
192084,B,P,B-,C+,B-,B,C,
192082,C+,P,C+,A-,B-,B-,C+,
192078,A-,P,B-,A,C+,C+,B,
192076,A-,P,B-,C-,C-,I,I,
192075,B+,P,B,A,C,B,B-,
192074,C+,P,B,C+,C+,B-,B-,
192071,A-,P,A,B+,C,B-,C-,
192066,C+,P,B,B-,C+,C+,B,
192061,B,P,B+,C,C,C-,C-,
192058,A,P,B-,A-,C+,B-,B-,
192054,C-,P,C-,D+,D+,D,C-,
192053,C,P,B-,C+,D+,B,D+,
192051,C+,F,C+,D,C-,C,C-,
192049,C+,P,C+,D,C-,C,D+,
192048,A+,P,A,B+,A,B+,A,
192045,A-,P,A-,A-,C+,A-,A-,
192044,B+,P,A,A-,A-,B+,B,
192042,B-,P,C+,B,C,C,C,
192035,A+,P,A+,A,A,B,A,
192029,B-,P,A,A-,B+,C+,B,
192027,C+,P,B,B-,C,C+,C+,
192026,B+,P,A-,A,B,A,A-,
192020,B+,P,B+,B+,C-,C,D+,
192014,B-,P,C+,C-,D,D,C-,
192007,B,P,B+,B-,C-,C-,C,
192006,A,P,A,A,A,B,B+,
192003,C+,P,C+,C,C-,C-,C-,
192002,C,P,C-,D+,D+,D+,D,
