INDEX NUMBER,CMIS3114,CMIS3122,CMIS3134,CMIS3142,CMIS3153,ELPCCCBE,
182175,A,B,A,B+,B-,-,
182164,A-,A-,A,B,A,-,
182160,A,A-,B+,B,C+,-,
182152,A,A,B+,A,A,-,
182127,A,A,B,A,B,-,
182126,A+,A,A,A,A,-,
182121,B,B-,B+,B,B,-,
182107,A,A,A,A-,B,-,
182103,A,A,B+,A-,B-,-,
182085,A-,A,B,A-,B+,-,
182072,A,A,B+,A,B+,-,
182065,A,A+,A-,B+,B,-,
182061,A,A,A-,A,I,-,
182047,A+,B+,A,A,A-,-,
182039,A,A,B+,A,A-,-,
182036,A-,B-,A,A,B,-,
182029,B-,A,I,A-,C+,-,
182022,A-,A,A,B,B,-,
182011,C,B+,A-,B+,C,-,
182009,A,A,A,A,A,-,
182005,A,B+,A-,A,B+,-,
